,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,24,14,1258,3,1,0,0,0,0,0.21,0.07,0.29,0.21,0.29,3.1,3.1,0.3,0.22,0.02,0.24,0.22,0.24,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,27,14,1352,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,0.02,0.06,0.08,0.02,0.08,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,29,28,2428,1,0,0,0,6,1,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.3,0.03,0.01,0.04,0.03,0.04,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,30,30,2613,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.7,0.06,0.02,0.08,0.06,0.08,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,31,31,2727,3,0,0,0,7,0,0.10,0.00,0.10,0.10,0.10,1.2,1.2,2.0,0.04,0.06,0.10,0.04,0.10,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,12,3,297,2,0,0,0,0,0,0.61,0.00,0.61,0.61,0.61,2.4,2.4,0.0,0.73,0.01,0.74,0.73,0.74,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,4,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.22,0.00,0.22,0.22,0.22,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,2,2,126,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.05,0.05,0.00,0.05,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,16,14,1266,0,1,0,0,0,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.5,0.03,0.03,0.06,0.03,0.06,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,6,3,277,0,1,0,0,2,1,0.00,0.32,0.32,0.00,0.32,0.1,0.1,0.2,0.03,0.07,0.10,0.03,0.10,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,18,16,1431,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.01,0.04,0.05,0.01,0.05,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,30,23,2027,1,0,0,0,8,0,0.04,0.00,0.04,0.04,0.04,1.9,1.9,0.3,0.08,0.01,0.10,0.08,0.10,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,18,4,548,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.9,1.9,0.2,0.32,0.04,0.35,0.32,0.35,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,29,26,2361,2,0,0,0,6,0,0.08,0.00,0.08,0.08,0.08,2.1,2.1,0.3,0.08,0.01,0.09,0.08,0.09,Matches
