,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
79,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,31-357,1989,8,2,203,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.25,0.02,0.27,0.25,0.27,Matches
80,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-143,1997,12,12,1042,0,1,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,0.9,0.01,0.07,0.08,0.01,0.08,Matches
81,Timothy Castagne\Timothy-Castagne,be BEL,DFMF,Leicester City,25-023,1995,8,8,689,1,2,0,0,1,0,0.13,0.26,0.39,0.13,0.39,0.3,0.3,0.5,0.04,0.06,0.10,0.04,0.10,Matches
82,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-071,1993,13,11,969,1,0,1,2,1,0,0.09,0.00,0.09,0.00,0.00,2.5,1.8,1.3,0.24,0.12,0.36,0.17,0.28,Matches
83,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,33-318,1987,8,1,212,3,2,0,0,1,0,1.27,0.85,2.12,1.27,2.12,1.9,1.9,0.9,0.79,0.40,1.19,0.79,1.19,Matches
84,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-143,1996,13,8,851,0,1,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,1.8,0.01,0.19,0.20,0.01,0.20,Matches
85,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-007,1996,12,12,990,2,3,0,0,1,0,0.18,0.27,0.45,0.18,0.45,0.9,0.9,1.0,0.08,0.09,0.17,0.08,0.17,Matches
86,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-088,1997,2,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
87,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-262,1996,4,4,314,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
88,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-093,1989,6,6,540,1,0,0,0,1,0,0.17,0.00,0.17,0.17,0.17,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,Matches
89,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-267,1991,8,8,701,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.0,0.0,0.3,0.01,0.04,0.04,0.01,0.04,Matches
90,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,27-307,1993,14,14,1260,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
91,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-078,1988,8,6,480,0,1,0,0,0,0,0.00,0.19,0.19,0.00,0.19,0.1,0.1,0.5,0.01,0.10,0.11,0.01,0.11,Matches
92,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,20-335,2000,10,6,536,1,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,1.8,1.8,0.2,0.31,0.03,0.33,0.31,0.33,Matches
93,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-120,1991,11,11,971,1,0,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.5,0.5,0.0,0.04,0.00,0.04,0.04,0.04,Matches
94,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,26-351,1994,10,8,669,2,2,0,0,0,0,0.27,0.27,0.54,0.27,0.54,1.0,1.0,0.8,0.13,0.11,0.24,0.13,0.24,Matches
95,Vladimír Coufal\Vladimir-Coufal,cz CZE,DFMF,West Ham,28-128,1992,12,12,1074,0,2,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.3,0.3,1.6,0.02,0.14,0.16,0.02,0.16,Matches
96,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-013,1989,15,15,1350,0,4,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.3,0.3,2.2,0.02,0.15,0.17,0.02,0.17,Matches
97,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-253,1991,15,15,1340,3,0,0,0,3,0,0.20,0.00,0.20,0.20,0.20,1.8,1.8,0.6,0.12,0.04,0.16,0.12,0.16,Matches
98,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,33-318,1987,8,8,720,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.3,0.3,0.0,0.04,0.00,0.04,0.04,0.04,Matches
99,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-081,1990,14,14,1260,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
100,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,27-248,1993,11,6,592,0,1,0,0,0,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.2,0.02,0.04,0.05,0.02,0.05,Matches
101,Tom Davies\Tom-Davies,eng ENG,MF,Everton,22-181,1998,8,4,337,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.13,0.13,0.00,0.13,Matches
102,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,22-319,1998,2,0,40,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.06,0.06,0.00,0.06,Matches
103,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,20-351,2000,2,0,33,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
104,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-183,1991,13,12,1103,2,7,2,3,1,0,0.16,0.57,0.73,0.00,0.57,6.2,3.9,5.3,0.50,0.43,0.94,0.32,0.75,Matches
105,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,17-324,2003,1,0,40,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
