,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
84,82,Stuart Dallas,nir NIR,"DF,MF",Leeds United,30-228,1991,14,14,1247,13.9,0,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,1.1,1.1,1.4,2.4,0.08,0.1,0.17,0.08,0.17,Matches
85,83,Diogo Dalot,pt POR,DF,Manchester Utd,22-260,1999,5,1,183,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.02,0.04,0.02,0.04,Matches
86,84,Karl Darlow,eng ENG,GK,Newcastle Utd,31-056,1990,8,8,720,8.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
87,85,Ben Davies,wls WAL,DF,Tottenham,28-223,1993,5,4,391,4.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.14,0.01,0.15,0.14,0.15,Matches
88,86,Tom Davies,eng ENG,MF,Everton,23-156,1998,5,1,158,1.8,1,0,1,0,0,0,0,0.57,0.0,0.57,0.57,0.57,0.9,0.9,0.0,0.9,0.52,0.0,0.52,0.52,0.52,Matches
89,87,Keinan Davis,eng ENG,FW,Aston Villa,23-293,1998,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
90,88,Craig Dawson,eng ENG,DF,West Ham,31-211,1990,11,7,713,7.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.11,0.01,0.11,0.11,0.11,Matches
91,89,Kevin De Bruyne,be BEL,MF,Manchester City,30-158,1991,8,5,453,5.0,2,0,2,0,0,0,0,0.4,0.0,0.4,0.4,0.4,1.5,1.5,1.8,3.2,0.3,0.35,0.64,0.3,0.64,Matches
92,90,Troy Deeney,eng ENG,FW,Watford,33-157,1988,2,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,1.45,0.32,1.77,1.45,1.77,Matches
93,91,Fabian Delph,eng ENG,MF,Everton,32-012,1989,5,2,192,2.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03,Matches
94,92,Leander Dendoncker,be BEL,"MF,FW",Wolves,26-232,1995,10,4,429,4.8,0,1,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21,0.3,0.3,0.7,1.0,0.06,0.15,0.21,0.06,0.21,Matches
95,93,Emmanuel Dennis,ng NGA,"FW,MF",Watford,24-018,1997,13,12,989,11.0,6,5,6,0,0,6,0,0.55,0.46,1.0,0.55,1.0,3.5,3.5,1.5,5.0,0.32,0.14,0.46,0.32,0.46,Matches
96,94,Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,23-088,1998,5,0,83,0.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.08,0.14,0.22,0.08,0.22,Matches
97,95,Ibrahima Diallo,fr FRA,MF,Southampton,22-270,1999,10,3,414,4.6,0,1,0,0,0,0,0,0.0,0.22,0.22,0.0,0.22,0.3,0.3,0.4,0.7,0.07,0.08,0.15,0.07,0.15,Matches
98,96,Raphael Dias Belloli,br BRA,"MF,FW",Leeds United,24-354,1996,12,12,997,11.1,6,0,5,1,1,3,0,0.54,0.0,0.54,0.45,0.45,3.8,3.0,2.0,5.0,0.34,0.18,0.52,0.27,0.46,Matches
99,97,Rúben Dias,pt POR,DF,Manchester City,24-203,1997,13,12,1099,12.2,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,0.3,0.3,1.1,1.4,0.03,0.09,0.11,0.03,0.11,Matches
100,98,Eric Dier,eng ENG,DF,Tottenham,27-322,1994,13,13,1091,12.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.3,1.6,0.03,0.1,0.13,0.03,0.13,Matches
101,99,Lucas Digne,fr FRA,DF,Everton,28-136,1993,13,13,1170,13.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.7,2.1,0.03,0.13,0.16,0.03,0.16,Matches
102,100,Virgil van Dijk,nl NED,DF,Liverpool,30-148,1991,14,14,1260,14.0,1,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,1.3,1.3,0.1,1.3,0.09,0.01,0.1,0.09,0.1,Matches
104,101,Moussa Djenepo,ml MLI,MF,Southampton,23-171,1998,7,5,409,4.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.2,1.7,0.32,0.04,0.36,0.32,0.36,Matches
