,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
144,140,Lewis Dunk,eng ENG,DF,Brighton,28.0,1991.0,33,33,2931,32.6,5,0,5,0,0,5,2,0.15,0.0,0.15,0.15,0.15,2.5,2.5,0.9,3.4,0.08,0.03,0.1,0.08,0.1,Matches
145,141,Jimmy Dunne,ie IRL,DF,Burnley,22.0,1997.0,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33,0.4,0.4,0.1,0.5,0.14,0.04,0.17,0.14,0.17,Matches
146,142,Ederson,br BRA,GK,Manchester City,26.0,1993.0,36,36,3240,36.0,0,1,0,0,0,3,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01,Matches
147,143,Kyle Edwards,eng ENG,"MF,FW",West Brom,22.0,1998.0,5,1,118,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.11,0.0,0.11,0.11,0.11,Matches
148,144,John Egan,ie IRL,DF,Sheffield Utd,27.0,1992.0,31,30,2629,29.2,0,1,0,0,0,7,1,0.0,0.03,0.03,0.0,0.03,0.7,0.7,0.3,1.0,0.02,0.01,0.03,0.02,0.03,Matches
149,145,Anthony Elanga,se SWE,FW,Manchester Utd,18.0,2002.0,2,2,155,1.7,1,0,1,0,0,0,0,0.58,0.0,0.58,0.58,0.58,0.3,0.3,0.0,0.3,0.16,0.02,0.18,0.16,0.18,Matches
150,146,Ahmed Elmohamady,eg EGY,DF,Aston Villa,32.0,1987.0,14,8,839,9.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,1.1,0.05,0.07,0.12,0.05,0.12,Matches
151,147,Mohamed Elneny,eg EGY,MF,Arsenal,28.0,1992.0,23,17,1544,17.2,1,0,1,0,0,3,0,0.06,0.0,0.06,0.06,0.06,0.5,0.5,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Matches
152,148,Jonny Evans,nir NIR,DF,Leicester City,32.0,1988.0,28,28,2473,27.5,2,2,2,0,0,7,0,0.07,0.07,0.15,0.07,0.15,1.7,1.7,0.3,2.0,0.06,0.01,0.07,0.06,0.07,Matches
153,149,Eberechi Eze,eng ENG,MF,Crystal Palace,22.0,1998.0,34,29,2559,28.4,4,6,4,0,0,3,0,0.14,0.21,0.35,0.14,0.35,2.2,2.2,2.8,5.1,0.08,0.1,0.18,0.08,0.18,Matches
154,150,Łukasz Fabiański,pl POL,GK,West Ham,35.0,1985.0,35,35,3150,35.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
156,151,Fabinho,br BRA,"DF,MF",Liverpool,26.0,1993.0,30,28,2567,28.5,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,0.02,0.01,0.03,0.02,0.03,Matches
157,152,Bruno Fernandes,pt POR,MF,Manchester Utd,25.0,1994.0,37,35,3099,34.4,18,12,9,9,10,6,0,0.52,0.35,0.87,0.26,0.61,15.4,7.8,11.0,18.8,0.45,0.32,0.77,0.23,0.55,Matches
158,153,Federico Fernández,ar ARG,DF,Newcastle Utd,31.0,1989.0,24,24,2079,23.1,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.01,0.01,0.03,0.01,0.03,Matches
159,154,Fernandinho,br BRA,MF,Manchester City,35.0,1985.0,21,12,1188,13.2,0,2,0,0,0,6,0,0.0,0.15,0.15,0.0,0.15,0.8,0.8,0.9,1.7,0.06,0.07,0.13,0.06,0.13,Matches
160,155,Sam Field,eng ENG,MF,West Brom,22.0,1998.0,3,0,62,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
161,156,Roberto Firmino,br BRA,FW,Liverpool,28.0,1991.0,36,33,2838,31.5,9,7,9,0,0,2,0,0.29,0.22,0.51,0.29,0.51,12.6,12.6,6.4,19.0,0.4,0.2,0.6,0.4,0.6,Matches
162,157,John Fleck,sct SCO,MF,Sheffield Utd,28.0,1991.0,31,29,2575,28.6,0,2,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,0.9,0.9,2.7,3.5,0.03,0.09,0.12,0.03,0.12,Matches
163,158,Phil Foden,eng ENG,"FW,MF",Manchester City,20.0,2000.0,28,17,1616,18.0,9,5,9,0,0,0,0,0.5,0.28,0.78,0.5,0.78,5.5,5.5,4.1,9.7,0.31,0.23,0.54,0.31,0.54,Matches
164,159,Wesley Fofana,fr FRA,DF,Leicester City,19.0,2000.0,28,27,2262,25.1,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,1.3,0.04,0.01,0.05,0.04,0.05,Matches
165,160,Pablo Fornals,es ESP,"FW,MF",West Ham,24.0,1996.0,33,31,2572,28.6,5,4,5,0,0,3,0,0.17,0.14,0.31,0.17,0.31,6.5,6.5,2.5,9.0,0.23,0.09,0.32,0.23,0.32,Matches
166,161,Fraser Forster,eng ENG,GK,Southampton,32.0,1988.0,8,8,720,8.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
167,162,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,22.0,1998.0,1,1,80,0.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.03,0.31,0.34,0.03,0.34,Matches
168,163,Tyrese Francois,au AUS,DF,Fulham,20.0,2000.0,1,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
169,164,Ryan Fraser,sct SCO,"FW,MF",Newcastle Utd,26.0,1994.0,18,9,928,10.3,0,2,0,0,0,2,1,0.0,0.19,0.19,0.0,0.19,0.9,0.9,2.1,3.0,0.09,0.2,0.29,0.09,0.29,Matches
170,165,Fred,br BRA,MF,Manchester Utd,27.0,1993.0,30,27,2390,26.6,1,0,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04,1.9,1.9,2.5,4.5,0.07,0.1,0.17,0.07,0.17,Matches
